markets,corrs,vols,mids,dates
TAN_ICLN,0.849165735,0.03538788,1,2021-01-29T00:00:00Z
TAN_ICLN,0.874765544,0.026333555,1,2021-02-26T00:00:00Z
TAN_ICLN,0.949454338,0.038445622,1,2021-03-31T00:00:00Z
TAN_ICLN,0.784610139,0.017737665,1,2021-04-30T00:00:00Z
TAN_ICLN,0.861947449,0.019635099,1,2021-05-28T00:00:00Z
TAN_ICLN,0.509400011,0.011242422,1,2021-06-30T00:00:00Z
TAN_ICLN,0.8166536,0.013824513,1,2021-07-30T00:00:00Z
TAN_ICLN,0.674435487,0.00958075,1,2021-08-31T00:00:00Z
TAN_ICLN,0.8528059,0.013378875,1,2021-09-30T00:00:00Z
TAN_ICLN,0.807245096,0.01612496,1,2021-10-29T00:00:00Z
TAN_ICLN,0.813880953,0.015025323,1,2021-11-30T00:00:00Z
TAN_ICLN,0.957215436,0.01977083,1,2021-12-31T00:00:00Z
TAN_ICLN,0.89591601,0.021435907,1,2022-01-31T00:00:00Z
TAN_ICLN,0.91921353,0.027877877,1,2022-02-25T00:00:00Z
TAN_PBW,0.855250971,0.020699775,2,2012-01-31T00:00:00Z
TAN_PBW,0.929125858,0.020414531,2,2012-02-29T00:00:00Z
TAN_PBW,0.824126908,0.015652949,2,2012-03-30T00:00:00Z
TAN_PBW,0.821550724,0.01663301,2,2012-04-30T00:00:00Z
TAN_PBW,0.649025309,0.014677283,2,2012-05-31T00:00:00Z
TAN_PBW,0.885178468,0.018592011,2,2012-06-29T00:00:00Z
TAN_PBW,0.746513366,0.015481013,2,2012-07-31T00:00:00Z
TAN_PBW,0.840098082,0.012767109,2,2012-08-31T00:00:00Z
TAN_PBW,0.76737429,0.014120639,2,2012-09-28T00:00:00Z
TAN_PBW,0.372724662,0.010417706,2,2012-10-31T00:00:00Z
TAN_PBW,0.487515292,0.016336686,2,2012-11-30T00:00:00Z
TAN_PBW,0.417815965,0.009669551,2,2012-12-31T00:00:00Z
TAN_PBW,0.665111105,0.014768499,2,2013-01-31T00:00:00Z
TAN_PBW,0.542168434,0.018146655,2,2013-02-28T00:00:00Z
TAN_PBW,0.596934945,0.010037286,2,2013-03-28T00:00:00Z
TAN_PBW,0.605532382,0.020752528,2,2013-04-30T00:00:00Z
TAN_PBW,0.523773796,0.020013128,2,2013-05-31T00:00:00Z
TAN_PBW,0.763885644,0.019563957,2,2013-06-28T00:00:00Z
TAN_PBW,0.514946287,0.012622941,2,2013-07-31T00:00:00Z
TAN_PBW,0.70143037,0.018726275,2,2013-08-30T00:00:00Z
TAN_PBW,0.654830747,0.011290115,2,2013-09-30T00:00:00Z
TAN_PBW,0.740754588,0.016696481,2,2013-10-31T00:00:00Z
TAN_PBW,0.750862899,0.020555243,2,2013-11-29T00:00:00Z
TAN_PBW,0.560224658,0.011242262,2,2013-12-31T00:00:00Z
TAN_PBW,0.860945559,0.01933446,2,2014-01-31T00:00:00Z
TAN_PBW,0.707856038,0.019226153,2,2014-02-28T00:00:00Z
TAN_PBW,0.867234046,0.020010797,2,2014-03-31T00:00:00Z
TAN_PBW,0.875450365,0.023021329,2,2014-04-30T00:00:00Z
TAN_PBW,0.926733165,0.018625539,2,2014-05-30T00:00:00Z
TAN_PBW,0.709764336,0.012526166,2,2014-06-30T00:00:00Z
TAN_PBW,0.900774244,0.013337815,2,2014-07-31T00:00:00Z
TAN_PBW,0.52203094,0.009887996,2,2014-08-29T00:00:00Z
TAN_PBW,0.890666023,0.015071583,2,2014-09-30T00:00:00Z
TAN_PBW,0.836838767,0.025634064,2,2014-10-31T00:00:00Z
TAN_PBW,0.724834389,0.015235576,2,2014-11-28T00:00:00Z
TAN_PBW,0.806665404,0.019421768,2,2014-12-31T00:00:00Z
TAN_PBW,0.84134301,0.016038184,2,2015-01-30T00:00:00Z
TAN_PBW,0.712651422,0.012480639,2,2015-02-27T00:00:00Z
TAN_PBW,0.911168924,0.01465901,2,2015-03-31T00:00:00Z
TAN_PBW,0.791748692,0.012445762,2,2015-04-30T00:00:00Z
